Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Jackman,Maine,104,US-Canada Border,Jan-24,Trucks,6556,45.806,-70.397,POINT (-70.396722 45.805661)
Porthill,Idaho,3308,US-Canada Border,Apr-24,Trucks,98,49,-116.499,POINT (-116.49925 48.999861)
San Luis,Arizona,2608,US-Mexico Border,Apr-24,Buses,10,32.485,-114.782,POINT (-114.7822222 32.485)
Willow Creek,Montana,3325,US-Canada Border,Jan-24,Pedestrians,2,49,-109.731,POINT (-109.731333 48.999972)
Warroad,Minnesota,3423,US-Canada Border,Jan-24,Personal Vehicle Passengers,9266,48.999,-95.377,POINT (-95.376555 48.999)
Whitlash,Montana,3321,US-Canada Border,Jan-24,Personal Vehicles,29,48.997,-111.258,POINT (-111.257916 48.99725)
Ysleta,Texas,2401,US-Mexico Border,Jan-24,Personal Vehicle Passengers,521714,31.673,-106.335,POINT (-106.335449846028 31.6731261376859)
Warroad,Minnesota,3423,US-Canada Border,Jan-24,Trucks,837,48.999,-95.377,POINT (-95.376555 48.999)
Wildhorse,Montana,3323,US-Canada Border,Jan-24,Trucks,20,48.999,-110.215,POINT (-110.215083 48.999361)
Wildhorse,Montana,3323,US-Canada Border,Jan-24,Personal Vehicle Passengers,965,48.999,-110.215,POINT (-110.215083 48.999361)
Warroad,Minnesota,3423,US-Canada Border,Jan-24,Bus Passengers,278,48.999,-95.377,POINT (-95.376555 48.999)
Westhope,North Dakota,3419,US-Canada Border,Jan-24,Truck Containers Loaded,102,49,-101.017,POINT (-101.017277 48.999611)
Warroad,Minnesota,3423,US-Canada Border,Jan-24,Truck Containers Loaded,459,48.999,-95.377,POINT (-95.376555 48.999)
Ysleta,Texas,2401,US-Mexico Border,Jan-24,Truck Containers Empty,21355,31.673,-106.335,POINT (-106.335449846028 31.6731261376859)
Sweetgrass,Montana,3310,US-Canada Border,Jan-24,Truck Containers Empty,1985,48.998,-111.96,POINT (-111.959611 48.998388)
Brownsville,Texas,2301,US-Mexico Border,Jan-24,Rail Containers Empty,7712,25.952,-97.401,POINT (-97.40067 25.95155)
Sumas,Washington,3009,US-Canada Border,Jan-24,Bus Passengers,327,49.002,-122.265,POINT (-122.264805 49.002388)
Madawaska,Maine,109,US-Canada Border,Jan-24,Truck Containers Empty,130,47.36,-68.329,POINT (-68.328684 47.360052)
Dalton Cache,Alaska,3106,US-Canada Border,Jan-24,Truck Containers Loaded,21,59.451,-136.362,POINT (-136.361944 59.450556)
Calexico East,California,2507,US-Mexico Border,Jan-24,Personal Vehicle Passengers,435768,32.673,-115.388,POINT (-115.388018 32.673389)
Pinecreek,Minnesota,3425,US-Canada Border,Jan-24,Personal Vehicle Passengers,188,49,-95.978,POINT (-95.977694 48.999916)
Laurier,Washington,3016,US-Canada Border,Jan-24,Trains,4,49,-118.224,POINT (-118.223777 49.000083)
Laredo,Texas,2304,US-Mexico Border,Jan-24,Personal Vehicles,425998,27.5,-99.507,POINT (-99.507412 27.499561)
Sumas,Washington,3009,US-Canada Border,Jan-24,Buses,14,49.002,-122.265,POINT (-122.264805 49.002388)
Frontier,Washington,3020,US-Canada Border,Jan-24,Bus Passengers,194,49,-117.832,POINT (-117.831527 49.0005)
Port Huron,Michigan,3802,US-Canada Border,Jan-24,Truck Containers Empty,9154,42.999,-82.424,POINT (-82.423611 42.998611)
Pembina,North Dakota,3401,US-Canada Border,Jan-24,Train Passengers,204,49,-97.237,POINT (-97.237036 49.000453)
Fort Fairfield,Maine,107,US-Canada Border,Jan-24,Trucks,525,46.765,-67.789,POINT (-67.789471 46.765323)
Alcan,Alaska,3104,US-Canada Border,Jan-24,Personal Vehicle Passengers,1054,62.615,-141.001,POINT (-141.001444 62.614961)
Roma,Texas,2310,US-Mexico Border,Jan-24,Personal Vehicle Passengers,128144,26.404,-99.019,POINT (-99.018981 26.403928)
Trout River,New York,715,US-Canada Border,Jan-24,Truck Containers Loaded,845,44.992,-74.308,POINT (-74.308172 44.992058)
Calais,Maine,115,US-Canada Border,Jan-24,Buses,4,45.189,-67.275,POINT (-67.275381 45.188548)
Pinecreek,Minnesota,3425,US-Canada Border,Jan-24,Truck Containers Loaded,4,49,-95.978,POINT (-95.977694 48.999916)
Limestone,Maine,118,US-Canada Border,Jan-24,Personal Vehicles,716,46.925,-67.79,POINT (-67.789597 46.924555)
Nogales,Arizona,2604,US-Mexico Border,Jan-24,Personal Vehicles,311743,31.333,-110.943,POINT (-110.942516 31.332839)
Detroit,Michigan,3801,US-Canada Border,Jan-24,Train Passengers,292,42.332,-83.048,POINT (-83.047924 42.331685)
Presidio,Texas,2403,US-Mexico Border,Jan-24,Pedestrians,16841,29.562,-104.395,POINT (-104.394907 29.561827)
Santa Teresa,New Mexico,2408,US-Mexico Border,Jan-24,Pedestrians,10499,31.784,-106.679,POINT (-106.679437 31.783939)
Champlain Rouses Point,New York,712,US-Canada Border,Jan-24,Bus Passengers,7704,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Vanceboro,Maine,105,US-Canada Border,Jan-24,Personal Vehicle Passengers,952,45.569,-67.429,POINT (-67.428541 45.568761)
El Paso,Texas,2402,US-Mexico Border,Jan-24,Personal Vehicle Passengers,955725,31.764,-106.451,POINT (-106.451188 31.764363)
Hidalgo,Texas,2305,US-Mexico Border,Jan-24,Personal Vehicles,389405,26.095,-98.271,POINT (-98.271092 26.095032)
Jackman,Maine,104,US-Canada Border,Jan-24,Pedestrians,87,45.806,-70.397,POINT (-70.396722 45.805661)
Alexandria Bay,New York,708,US-Canada Border,Jan-24,Buses,17,44.347,-75.984,POINT (-75.983592 44.347229)
Oroville,Washington,3019,US-Canada Border,Jan-24,Personal Vehicle Passengers,11836,49,-119.462,POINT (-119.461833 49.000083)
Champlain Rouses Point,New York,712,US-Canada Border,Jan-24,Rail Containers Loaded,3348,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Fortuna,North Dakota,3417,US-Canada Border,Jan-24,Trucks,228,49,-103.809,POINT (-103.80925 48.999555)
Metaline Falls,Washington,3025,US-Canada Border,Jan-24,Buses,5,49,-117.299,POINT (-117.299444 48.999972)
Ogdensburg,New York,701,US-Canada Border,Jan-24,Personal Vehicles,14231,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Tornillo,Texas,2404,US-Mexico Border,Jan-24,Personal Vehicles,54355,31.435,-106.143,POINT (-106.142669 31.435334)
Port Huron,Michigan,3802,US-Canada Border,Jan-24,Bus Passengers,576,42.999,-82.424,POINT (-82.423611 42.998611)
Sherwood,North Dakota,3414,US-Canada Border,Jan-24,Personal Vehicle Passengers,1518,48.999,-101.628,POINT (-101.627527 48.999305)
Hansboro,North Dakota,3415,US-Canada Border,Jan-24,Personal Vehicles,225,49,-99.347,POINT (-99.346527 48.999583)
Van Buren,Maine,108,US-Canada Border,Jan-24,Rail Containers Loaded,691,47.16,-67.931,POINT (-67.930799 47.159645)
Eastport,Idaho,3302,US-Canada Border,Jan-24,Rail Containers Loaded,10555,49.001,-116.181,POINT (-116.181027 49.000555)
Sasabe,Arizona,2606,US-Mexico Border,Jan-24,Personal Vehicles,953,31.483,-111.544,POINT (-111.544363 31.483039)
Alexandria Bay,New York,708,US-Canada Border,Jan-24,Truck Containers Loaded,26138,44.347,-75.984,POINT (-75.983592 44.347229)
Metaline Falls,Washington,3025,US-Canada Border,Jan-24,Trucks,370,49,-117.299,POINT (-117.299444 48.999972)
Metaline Falls,Washington,3025,US-Canada Border,Jan-24,Truck Containers Loaded,63,49,-117.299,POINT (-117.299444 48.999972)
Boundary,Washington,3015,US-Canada Border,Jan-24,Truck Containers Loaded,31,49.001,-117.628,POINT (-117.627583 49.00075)
Progreso,Texas,2309,US-Mexico Border,Jan-24,Truck Containers Loaded,5392,26.062,-97.95,POINT (-97.949958 26.062133)
Rio Grande City,Texas,2307,US-Mexico Border,Jan-24,Personal Vehicle Passengers,77508,26.366,-98.803,POINT (-98.802513 26.365761)
Danville,Washington,3012,US-Canada Border,Jan-24,Truck Containers Empty,7,49,-118.504,POINT (-118.503722 49.000083)
Portal,North Dakota,3403,US-Canada Border,Jan-24,Truck Containers Empty,1677,48.999,-102.552,POINT (-102.551944 48.998944)
Pembina,North Dakota,3401,US-Canada Border,Jan-24,Trucks,20060,49,-97.237,POINT (-97.237036 49.000453)
Laurier,Washington,3016,US-Canada Border,Jan-24,Buses,2,49,-118.224,POINT (-118.223777 49.000083)
Raymond,Montana,3301,US-Canada Border,Jan-24,Truck Containers Empty,334,48.999,-104.574,POINT (-104.574333 48.999194)
Del Rio,Texas,2302,US-Mexico Border,Jan-24,Truck Containers Empty,2059,29.327,-100.928,POINT (-100.927612 29.326784)
Turner,Montana,3306,US-Canada Border,Jan-24,Personal Vehicles,395,49,-108.388,POINT (-108.387916 48.999527)
Detroit,Michigan,3801,US-Canada Border,Jan-24,Trucks,130404,42.332,-83.048,POINT (-83.047924 42.331685)
Nogales,Arizona,2604,US-Mexico Border,Jan-24,Buses,779,31.333,-110.943,POINT (-110.942516 31.332839)
Dunseith,North Dakota,3422,US-Canada Border,Jan-24,Truck Containers Empty,588,48.999,-100.052,POINT (-100.052166 48.999277)
Blaine,Washington,3004,US-Canada Border,Jan-24,Rail Containers Loaded,7665,48.994,-122.749,POINT (-122.748884 48.994045)
Noonan,North Dakota,3420,US-Canada Border,Jan-24,Truck Containers Empty,159,48.999,-103.004,POINT (-103.004361 48.999333)
Baudette,Minnesota,3424,US-Canada Border,Jan-24,Bus Passengers,37,48.719,-94.59,POINT (-94.590467 48.719109)
Highgate Springs,Vermont,212,US-Canada Border,Jan-24,Truck Containers Empty,1598,45.015,-73.085,POINT (-73.085037 45.015414)
International Falls,Minnesota,3604,US-Canada Border,Jan-24,Rail Containers Empty,11254,48.608,-93.401,POINT (-93.401355 48.6078)
Kenneth G Ward,Washington,3023,US-Canada Border,Jan-24,Personal Vehicles,26052,49.002,-122.485,POINT (-122.485027 49.002277)
Roosville,Montana,3318,US-Canada Border,Jan-24,Truck Containers Loaded,1129,49,-115.056,POINT (-115.056027 48.999638)
Norton,Vermont,211,US-Canada Border,Jan-24,Trucks,430,45.011,-71.793,POINT (-71.793219 45.010771)
Blaine,Washington,3004,US-Canada Border,Jan-24,Bus Passengers,2003,48.994,-122.749,POINT (-122.748884 48.994045)
Baudette,Minnesota,3424,US-Canada Border,Jan-24,Pedestrians,9,48.719,-94.59,POINT (-94.590467 48.719109)
Tecate,California,2505,US-Mexico Border,Jan-24,Truck Containers Loaded,5306,32.576,-116.626,POINT (-116.626216 32.576428)
Grand Portage,Minnesota,3613,US-Canada Border,Jan-24,Pedestrians,27,48.001,-89.585,POINT (-89.58515 48.001427)
Morgan,Montana,3319,US-Canada Border,Jan-24,Truck Containers Loaded,10,49,-107.832,POINT (-107.831819 48.999829)
Boundary,Washington,3015,US-Canada Border,Jan-24,Rail Containers Loaded,662,49.001,-117.628,POINT (-117.627583 49.00075)
Ambrose,North Dakota,3410,US-Canada Border,Jan-24,Personal Vehicle Passengers,212,48.999,-103.487,POINT (-103.486555 48.999305)
Roseau,Minnesota,3426,US-Canada Border,Jan-24,Truck Containers Loaded,226,49,-95.766,POINT (-95.766469 48.999538)
Dunseith,North Dakota,3422,US-Canada Border,Jan-24,Personal Vehicles,2553,48.999,-100.052,POINT (-100.052166 48.999277)
Massena,New York,704,US-Canada Border,Jan-24,Bus Passengers,852,44.991,-74.74,POINT (-74.739722 44.990556)
Port Angeles,Washington,3007,US-Canada Border,Jan-24,Trucks,3,48.122,-123.431,POINT (-123.430694 48.121858)
Carbury,North Dakota,3421,US-Canada Border,Jan-24,Personal Vehicles,663,48.999,-100.556,POINT (-100.555805 48.999416)
Santa Teresa,New Mexico,2408,US-Mexico Border,Jan-24,Trucks,12956,31.784,-106.679,POINT (-106.679437 31.783939)
Skagway,Alaska,3103,US-Canada Border,Jan-24,Personal Vehicle Passengers,578,59.63,-135.164,POINT (-135.164444 59.629722)
Champlain Rouses Point,New York,712,US-Canada Border,Jan-24,Trucks,22079,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Laurier,Washington,3016,US-Canada Border,Jan-24,Rail Containers Empty,11,49,-118.224,POINT (-118.223777 49.000083)
Lukeville,Arizona,2602,US-Mexico Border,Jan-24,Pedestrians,5740,31.88,-112.817,POINT (-112.817077 31.880195)
Eagle Pass,Texas,2303,US-Mexico Border,Jan-24,Truck Containers Empty,7623,28.705,-100.512,POINT (-100.511977 28.705483)
Richford,Vermont,203,US-Canada Border,Jan-24,Personal Vehicles,4811,45.012,-72.589,POINT (-72.588559 45.01174)
Otay Mesa,California,2506,US-Mexico Border,Jan-24,Truck Containers Loaded,101560,32.55,-116.939,POINT (-116.938538 32.55033)
Derby Line,Vermont,209,US-Canada Border,Jan-24,Bus Passengers,1639,45.006,-72.099,POINT (-72.099279 45.005739)
Roma,Texas,2310,US-Mexico Border,Jan-24,Trucks,3553,26.404,-99.019,POINT (-99.018981 26.403928)
Sumas,Washington,3009,US-Canada Border,Jan-24,Truck Containers Loaded,12962,49.002,-122.265,POINT (-122.264805 49.002388)
Eagle Pass,Texas,2303,US-Mexico Border,Jan-24,Bus Passengers,19742,28.705,-100.512,POINT (-100.511977 28.705483)
Antler,North Dakota,3413,US-Canada Border,Jan-24,Truck Containers Empty,21,48.999,-101.296,POINT (-101.296055 48.999472)
Northgate,North Dakota,3406,US-Canada Border,Jan-24,Personal Vehicles,456,48.999,-102.275,POINT (-102.27475 48.998833)
Blaine,Washington,3004,US-Canada Border,Jan-24,Truck Containers Loaded,30740,48.994,-122.749,POINT (-122.748884 48.994045)
Calais,Maine,115,US-Canada Border,Jan-24,Rail Containers Empty,135,45.189,-67.275,POINT (-67.275381 45.188548)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Jan-24,Truck Containers Empty,505,46.509,-84.361,POINT (-84.360833 46.508611)
Highgate Springs,Vermont,212,US-Canada Border,Jan-24,Rail Containers Empty,94,45.015,-73.085,POINT (-73.085037 45.015414)
Noonan,North Dakota,3420,US-Canada Border,Jan-24,Personal Vehicles,929,48.999,-103.004,POINT (-103.004361 48.999333)
Lancaster,Minnesota,3430,US-Canada Border,Jan-24,Personal Vehicles,914,49,-96.801,POINT (-96.800527 49.000194)
Del Rio,Texas,2302,US-Mexico Border,Jan-24,Personal Vehicles,136697,29.327,-100.928,POINT (-100.927612 29.326784)
Ferry,Washington,3013,US-Canada Border,Jan-24,Trucks,14,49,-118.761,POINT (-118.761166 49.000083)
Highgate Springs,Vermont,212,US-Canada Border,Jan-24,Truck Containers Loaded,11524,45.015,-73.085,POINT (-73.085037 45.015414)
Oroville,Washington,3019,US-Canada Border,Jan-24,Bus Passengers,117,49,-119.462,POINT (-119.461833 49.000083)
Boundary,Washington,3015,US-Canada Border,Jan-24,Trucks,26,49.001,-117.628,POINT (-117.627583 49.00075)
Jackman,Maine,104,US-Canada Border,Jan-24,Truck Containers Loaded,3375,45.806,-70.397,POINT (-70.396722 45.805661)
Buffalo Niagara Falls,New York,901,US-Canada Border,Jan-24,Pedestrians,3585,43.095,-79.056,POINT (-79.055847 43.09549)
Grand Portage,Minnesota,3613,US-Canada Border,Jan-24,Truck Containers Loaded,1091,48.001,-89.585,POINT (-89.58515 48.001427)
Baudette,Minnesota,3424,US-Canada Border,Jan-24,Truck Containers Loaded,39,48.719,-94.59,POINT (-94.590467 48.719109)
El Paso,Texas,2402,US-Mexico Border,Jan-24,Pedestrians,331187,31.764,-106.451,POINT (-106.451188 31.764363)
Piegan,Montana,3316,US-Canada Border,Jan-24,Personal Vehicles,2048,48.998,-113.379,POINT (-113.378777 48.998083)
Portal,North Dakota,3403,US-Canada Border,Jan-24,Bus Passengers,192,48.999,-102.552,POINT (-102.551944 48.998944)
Detroit,Michigan,3801,US-Canada Border,Jan-24,Buses,694,42.332,-83.048,POINT (-83.047924 42.331685)
Douglas,Arizona,2601,US-Mexico Border,Jan-24,Personal Vehicles,123902,31.334,-109.56,POINT (-109.560344 31.334043)
Sarles,North Dakota,3409,US-Canada Border,Jan-24,Personal Vehicles,128,49,-98.938,POINT (-98.938361 49.000027)
Ogdensburg,New York,701,US-Canada Border,Jan-24,Trucks,2958,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Kenneth G Ward,Washington,3023,US-Canada Border,Jan-24,Truck Containers Empty,2390,49.002,-122.485,POINT (-122.485027 49.002277)
Massena,New York,704,US-Canada Border,Jan-24,Truck Containers Empty,552,44.991,-74.74,POINT (-74.739722 44.990556)
Skagway,Alaska,3103,US-Canada Border,Jan-24,Trucks,167,59.63,-135.164,POINT (-135.164444 59.629722)
Eastport,Maine,103,US-Canada Border,Jan-24,Truck Containers Empty,65,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Sweetgrass,Montana,3310,US-Canada Border,Jan-24,Truck Containers Loaded,19219,48.998,-111.96,POINT (-111.959611 48.998388)
Frontier,Washington,3020,US-Canada Border,Jan-24,Truck Containers Loaded,1747,49,-117.832,POINT (-117.831527 49.0005)
Point Roberts,Washington,3017,US-Canada Border,Jan-24,Pedestrians,687,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Calexico East,California,2507,US-Mexico Border,Jan-24,Truck Containers Empty,18199,32.673,-115.388,POINT (-115.388018 32.673389)
Fort Kent,Maine,110,US-Canada Border,Jan-24,Truck Containers Empty,726,47.249,-68.604,POINT (-68.603918 47.249206)
Champlain Rouses Point,New York,712,US-Canada Border,Jan-24,Train Passengers,3121,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Port Huron,Michigan,3802,US-Canada Border,Jan-24,Rail Containers Empty,17904,42.999,-82.424,POINT (-82.423611 42.998611)
Laurier,Washington,3016,US-Canada Border,Jan-24,Truck Containers Empty,315,49,-118.224,POINT (-118.223777 49.000083)
San Luis,Arizona,2608,US-Mexico Border,Jan-24,Pedestrians,236773,32.485,-114.782,POINT (-114.7822222 32.485)
Buffalo Niagara Falls,New York,901,US-Canada Border,Jan-24,Trains,123,43.095,-79.056,POINT (-79.055847 43.09549)
Limestone,Maine,118,US-Canada Border,Jan-24,Truck Containers Empty,33,46.925,-67.79,POINT (-67.789597 46.924555)
Pinecreek,Minnesota,3425,US-Canada Border,Jan-24,Personal Vehicles,111,49,-95.978,POINT (-95.977694 48.999916)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Jan-24,Rail Containers Empty,1136,46.509,-84.361,POINT (-84.360833 46.508611)
Del Bonita,Montana,3322,US-Canada Border,Jan-24,Truck Containers Empty,28,48.999,-112.788,POINT (-112.78825 48.998555)
Neche,North Dakota,3404,US-Canada Border,Jan-24,Personal Vehicle Passengers,1526,49.001,-97.557,POINT (-97.557333 49.000527)
Vanceboro,Maine,105,US-Canada Border,Jan-24,Trains,40,45.569,-67.429,POINT (-67.428541 45.568761)
Highgate Springs,Vermont,212,US-Canada Border,Jan-24,Buses,117,45.015,-73.085,POINT (-73.085037 45.015414)
Bridgewater,Maine,127,US-Canada Border,Jan-24,Truck Containers Empty,226,46.45,-67.785,POINT (-67.78484 46.450335)
Sumas,Washington,3009,US-Canada Border,Jan-24,Rail Containers Loaded,66,49.002,-122.265,POINT (-122.264805 49.002388)
Walhalla,North Dakota,3407,US-Canada Border,Jan-24,Personal Vehicles,1505,49,-97.908,POINT (-97.908416 49.000472)
El Paso,Texas,2402,US-Mexico Border,Jan-24,Trains,136,31.764,-106.451,POINT (-106.451188 31.764363)
Houlton,Maine,106,US-Canada Border,Jan-24,Truck Containers Empty,1496,46.135,-67.781,POINT (-67.781288 46.134879)
Oroville,Washington,3019,US-Canada Border,Jan-24,Trucks,1813,49,-119.462,POINT (-119.461833 49.000083)
Columbus,New Mexico,2406,US-Mexico Border,Jan-24,Truck Containers Loaded,2925,31.784,-107.628,POINT (-107.627948 31.783742)
Naco,Arizona,2603,US-Mexico Border,Jan-24,Trucks,243,31.334,-109.948,POINT (-109.948413 31.334084)
Calais,Maine,115,US-Canada Border,Jan-24,Bus Passengers,114,45.189,-67.275,POINT (-67.275381 45.188548)
Columbus,New Mexico,2406,US-Mexico Border,Jan-24,Trucks,1607,31.784,-107.628,POINT (-107.627948 31.783742)
Trout River,New York,715,US-Canada Border,Jan-24,Personal Vehicles,5001,44.992,-74.308,POINT (-74.308172 44.992058)
Nogales,Arizona,2604,US-Mexico Border,Jan-24,Trains,82,31.333,-110.943,POINT (-110.942516 31.332839)
Champlain Rouses Point,New York,712,US-Canada Border,Jan-24,Pedestrians,227,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Fortuna,North Dakota,3417,US-Canada Border,Jan-24,Personal Vehicle Passengers,1154,49,-103.809,POINT (-103.80925 48.999555)
Northgate,North Dakota,3406,US-Canada Border,Jan-24,Trucks,357,48.999,-102.275,POINT (-102.27475 48.998833)
Alcan,Alaska,3104,US-Canada Border,Jan-24,Personal Vehicles,711,62.615,-141.001,POINT (-141.001444 62.614961)
Hannah,North Dakota,3408,US-Canada Border,Jan-24,Truck Containers Empty,4,49,-98.694,POINT (-98.693777 49.000138)
Porthill,Idaho,3308,US-Canada Border,Jan-24,Truck Containers Empty,73,49,-116.499,POINT (-116.49925 48.999861)
Presidio,Texas,2403,US-Mexico Border,Jan-24,Truck Containers Loaded,1432,29.562,-104.395,POINT (-104.394907 29.561827)
Jackman,Maine,104,US-Canada Border,Jan-24,Rail Containers Loaded,1349,45.806,-70.397,POINT (-70.396722 45.805661)
Brownsville,Texas,2301,US-Mexico Border,Jan-24,Truck Containers Loaded,23943,25.952,-97.401,POINT (-97.40067 25.95155)
Eastport,Idaho,3302,US-Canada Border,Jan-24,Truck Containers Loaded,5171,49.001,-116.181,POINT (-116.181027 49.000555)
International Falls,Minnesota,3604,US-Canada Border,Jan-24,Trucks,1524,48.608,-93.401,POINT (-93.401355 48.6078)
Houlton,Maine,106,US-Canada Border,Jan-24,Personal Vehicles,10679,46.135,-67.781,POINT (-67.781288 46.134879)
Fort Fairfield,Maine,107,US-Canada Border,Jan-24,Truck Containers Loaded,120,46.765,-67.789,POINT (-67.789471 46.765323)
Oroville,Washington,3019,US-Canada Border,Jan-24,Truck Containers Loaded,2197,49,-119.462,POINT (-119.461833 49.000083)
Alexandria Bay,New York,708,US-Canada Border,Jan-24,Bus Passengers,545,44.347,-75.984,POINT (-75.983592 44.347229)
Frontier,Washington,3020,US-Canada Border,Jan-24,Buses,15,49,-117.832,POINT (-117.831527 49.0005)
Bridgewater,Maine,127,US-Canada Border,Jan-24,Personal Vehicles,2044,46.45,-67.785,POINT (-67.78484 46.450335)
Metaline Falls,Washington,3025,US-Canada Border,Jan-24,Bus Passengers,26,49,-117.299,POINT (-117.299444 48.999972)
Champlain Rouses Point,New York,712,US-Canada Border,Jan-24,Personal Vehicle Passengers,127324,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Port Huron,Michigan,3802,US-Canada Border,Jan-24,Personal Vehicle Passengers,122520,42.999,-82.424,POINT (-82.423611 42.998611)
Ogdensburg,New York,701,US-Canada Border,Jan-24,Personal Vehicle Passengers,27388,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Van Buren,Maine,108,US-Canada Border,Jan-24,Train Passengers,150,47.16,-67.931,POINT (-67.930799 47.159645)
Hansboro,North Dakota,3415,US-Canada Border,Jan-24,Truck Containers Empty,17,49,-99.347,POINT (-99.346527 48.999583)
Progreso,Texas,2309,US-Mexico Border,Jan-24,Pedestrians,102863,26.062,-97.95,POINT (-97.949958 26.062133)
Trout River,New York,715,US-Canada Border,Jan-24,Rail Containers Empty,508,44.992,-74.308,POINT (-74.308172 44.992058)
Richford,Vermont,203,US-Canada Border,Jan-24,Trains,13,45.012,-72.589,POINT (-72.588559 45.01174)
Buffalo Niagara Falls,New York,901,US-Canada Border,Jan-24,Truck Containers Empty,15455,43.095,-79.056,POINT (-79.055847 43.09549)
Eastport,Idaho,3302,US-Canada Border,Jan-24,Rail Containers Empty,526,49.001,-116.181,POINT (-116.181027 49.000555)
Metaline Falls,Washington,3025,US-Canada Border,Jan-24,Personal Vehicle Passengers,3148,49,-117.299,POINT (-117.299444 48.999972)
El Paso,Texas,2402,US-Mexico Border,Jan-24,Rail Containers Loaded,1924,31.764,-106.451,POINT (-106.451188 31.764363)
Madawaska,Maine,109,US-Canada Border,Jan-24,Trucks,130,47.36,-68.329,POINT (-68.328684 47.360052)
Progreso,Texas,2309,US-Mexico Border,Jan-24,Trucks,4423,26.062,-97.95,POINT (-97.949958 26.062133)
Calexico East,California,2507,US-Mexico Border,Jan-24,Personal Vehicles,247739,32.673,-115.388,POINT (-115.388018 32.673389)
Laredo,Texas,2304,US-Mexico Border,Jan-24,Rail Containers Empty,21066,27.5,-99.507,POINT (-99.507412 27.499561)
International Falls,Minnesota,3604,US-Canada Border,Jan-24,Rail Containers Loaded,36846,48.608,-93.401,POINT (-93.401355 48.6078)
Grand Portage,Minnesota,3613,US-Canada Border,Jan-24,Truck Containers Empty,235,48.001,-89.585,POINT (-89.58515 48.001427)
Laurier,Washington,3016,US-Canada Border,Jan-24,Truck Containers Loaded,211,49,-118.224,POINT (-118.223777 49.000083)
Baudette,Minnesota,3424,US-Canada Border,Jan-24,Truck Containers Empty,500,48.719,-94.59,POINT (-94.590467 48.719109)
Blaine,Washington,3004,US-Canada Border,Jan-24,Pedestrians,4121,48.994,-122.749,POINT (-122.748884 48.994045)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Jan-24,Buses,27,46.509,-84.361,POINT (-84.360833 46.508611)
Derby Line,Vermont,209,US-Canada Border,Jan-24,Personal Vehicles,22818,45.006,-72.099,POINT (-72.099279 45.005739)
Roosville,Montana,3318,US-Canada Border,Jan-24,Bus Passengers,75,49,-115.056,POINT (-115.056027 48.999638)
Naco,Arizona,2603,US-Mexico Border,Jan-24,Personal Vehicle Passengers,50633,31.334,-109.948,POINT (-109.948413 31.334084)
International Falls,Minnesota,3604,US-Canada Border,Jan-24,Bus Passengers,106,48.608,-93.401,POINT (-93.401355 48.6078)
Brownsville,Texas,2301,US-Mexico Border,Jan-24,Rail Containers Loaded,1713,25.952,-97.401,POINT (-97.40067 25.95155)
Northgate,North Dakota,3406,US-Canada Border,Jan-24,Train Passengers,63,48.999,-102.275,POINT (-102.27475 48.998833)
Eagle Pass,Texas,2303,US-Mexico Border,Jan-24,Personal Vehicles,231400,28.705,-100.512,POINT (-100.511977 28.705483)
Nogales,Arizona,2604,US-Mexico Border,Jan-24,Personal Vehicle Passengers,622454,31.333,-110.943,POINT (-110.942516 31.332839)
Walhalla,North Dakota,3407,US-Canada Border,Jan-24,Truck Containers Empty,409,49,-97.908,POINT (-97.908416 49.000472)
Sumas,Washington,3009,US-Canada Border,Jan-24,Pedestrians,2194,49.002,-122.265,POINT (-122.264805 49.002388)
Norton,Vermont,211,US-Canada Border,Jan-24,Personal Vehicle Passengers,653,45.011,-71.793,POINT (-71.793219 45.010771)
Hidalgo,Texas,2305,US-Mexico Border,Jan-24,Personal Vehicle Passengers,799915,26.095,-98.271,POINT (-98.271092 26.095032)
Antler,North Dakota,3413,US-Canada Border,Jan-24,Truck Containers Loaded,73,48.999,-101.296,POINT (-101.296055 48.999472)
Dalton Cache,Alaska,3106,US-Canada Border,Jan-24,Truck Containers Empty,34,59.451,-136.362,POINT (-136.361944 59.450556)
Detroit,Michigan,3801,US-Canada Border,Jan-24,Bus Passengers,4143,42.332,-83.048,POINT (-83.047924 42.331685)
Beecher Falls,Vermont,206,US-Canada Border,Jan-24,Truck Containers Empty,600,45.013,-71.505,POINT (-71.505309 45.013411)
Calais,Maine,115,US-Canada Border,Jan-24,Personal Vehicles,34066,45.189,-67.275,POINT (-67.275381 45.188548)
Pembina,North Dakota,3401,US-Canada Border,Jan-24,Rail Containers Loaded,9670,49,-97.237,POINT (-97.237036 49.000453)
